distance,T
0,-4.31139e-77
0.014285,1.77989e-76
0.02857,3.99092e-76
0.042855,6.20195e-76
0.0571399,-1.70524e-72
0.0714249,-6.23826e-72
0.0857099,-1.07713e-71
0.0999949,-4.47041e-71
0.11428,-8.16156e-71
0.128565,1.44338e-68
0.14285,-1.9218e-67
0.157135,-4.99926e-67
0.17142,-7.21924e-67
0.185705,-9.50566e-67
0.19999,-3.41003e-64
0.214275,-9.27498e-64
0.22856,-1.59459e-63
0.242845,-1.36642e-60
0.25713,-2.8947e-60
0.271415,-4.42298e-60
0.2857,-1.554e-57
0.299985,-4.33879e-57
0.31427,-6.46232e-57
0.328555,-3.37977e-54
0.34284,-8.69805e-54
0.357125,-1.26185e-53
0.37141,-7.28158e-51
0.385695,-1.7745e-50
0.39998,-2.82084e-50
0.414265,-1.80103e-47
0.42855,-4.33434e-47
0.442835,-6.16527e-47
0.45712,-2.30561e-44
0.471405,-5.24365e-44
0.48569,-5.58446e-42
0.499974,-4.0456e-41
0.514259,-5.83125e-41
0.528544,-7.58462e-40
0.542829,-2.47213e-39
0.557114,-4.1858e-39
0.571399,-3.88749e-37
0.585684,-1.00527e-36
0.599969,-9.20279e-35
0.614254,-3.69219e-34
0.628539,-6.11668e-34
0.642824,-1.08349e-31
0.657109,-2.7658e-31
0.671394,-7.51858e-29
0.685679,-2.22619e-28
0.699964,-2.96552e-28
0.714249,-1.13821e-26
0.728534,-2.25887e-26
0.742819,4.2122e-24
0.757104,9.48044e-24
0.771389,-3.82658e-23
0.785674,-1.82288e-22
0.799959,-2.93861e-22
0.814244,-7.62942e-21
0.828529,-4.03632e-20
0.842814,-1.73042e-19
0.857099,-3.07241e-19
0.871384,-5.91662e-18
0.885669,-5.03077e-17
0.899954,-2.02252e-16
0.914239,-3.65582e-16
0.928524,-7.66671e-16
0.942809,-4.98288e-14
0.957094,-1.41264e-13
0.971379,-1.41052e-13
0.985664,-3.57288e-14
0.999949,-8.44368e-14
1.01423,-4.71919e-13
1.02852,-1.08377e-12
1.0428,-8.88215e-13
1.05709,-9.05067e-12
1.07137,-1.3324e-11
1.08566,-1.24704e-11
1.09994,-1.02395e-11
1.11423,-5.06627e-12
1.12851,-8.12953e-12
1.1428,-8.73793e-12
1.15708,-1.63394e-12
1.17137,-7.35104e-13
1.18565,-6.70856e-14
1.19994,-1.53235e-14
1.21422,-2.00558e-15
1.22851,-1.75519e-16
1.24279,-1.34756e-17
1.25708,-7.31325e-19
1.27136,-4.61912e-20
1.28565,-1.91534e-21
1.29993,-6.11467e-23
1.31422,-2.20891e-24
1.3285,-7.34371e-26
1.34279,-5.8449e-28
1.35707,-7.10924e-30
1.37136,-6.84782e-32
1.38564,-4.11716e-34
1.39993,-1.53778e-36
1.41421,-1.20809e-39
