x,y,z,T
0.45,0.5,0,9.25954e-13
1,0.65,0,3.74539e-08
1,1.365,0,2.8927e-16
1,2.1,0,4.59615e-08
0.45,2.25,0,1.15619e-12
2.6,0.5,0,2.90649e-34
2.5,1.85,0,1.11475e-32
3.75,2.25,0,2.8259e-72
3.75,0.5,0,5.52789e-72
1.6,1.45,0,1.35065e-18
