distance,T
0,-3.29206e-91
0.014285,5.61385e-90
0.02857,1.15569e-89
0.042855,1.75e-89
0.0571399,-3.06363e-85
0.0714249,-1.12046e-84
0.0857099,-1.93456e-84
0.0999949,-4.04657e-84
0.11428,-6.29007e-84
0.128565,4.03796e-81
0.14285,-4.0899e-81
0.157135,-1.99267e-80
0.17142,-2.87723e-80
0.185705,-3.63868e-80
0.19999,-2.36021e-78
0.214275,-6.37139e-78
0.22856,-1.20891e-77
0.242845,-3.66193e-74
0.25713,-6.57857e-74
0.271415,-9.4952e-74
0.2857,-5.73736e-70
0.299985,-1.60507e-69
0.31427,-2.39793e-69
0.328555,-2.34146e-66
0.34284,-6.02942e-66
0.357125,-8.98313e-66
0.37141,-1.47424e-62
0.385695,-3.8263e-62
0.39998,-6.17836e-62
0.414265,-1.63153e-58
0.42855,-3.92945e-58
0.442835,-5.68957e-58
0.45712,-7.45974e-55
0.471405,-1.68134e-54
0.48569,-6.00029e-52
0.499974,-4.40387e-51
0.514259,-6.39457e-51
0.528544,-2.28803e-49
0.542829,-7.78634e-49
0.557114,-1.32846e-48
0.571399,-1.63196e-46
0.585684,-4.74126e-46
0.599969,9.84918e-44
0.614254,4.01894e-43
0.628539,6.56508e-43
0.642824,-1.16189e-40
0.657109,-7.35268e-40
0.671394,-3.85045e-37
0.685679,-1.13417e-36
0.699964,-1.4912e-36
0.714249,-1.03613e-34
0.728534,-2.06854e-34
0.742819,-4.97906e-33
0.757104,-1.20427e-32
0.771389,-4.45621e-30
0.785674,-1.69583e-29
0.799959,-2.11279e-29
0.814244,1.01456e-28
0.828529,5.00804e-28
0.842814,7.20826e-28
0.857099,8.90044e-28
0.871384,4.09981e-26
0.885669,5.65161e-26
0.899954,-7.25227e-25
0.914239,-1.81849e-24
0.928524,-5.38112e-24
0.942809,-1.55984e-21
0.957094,-4.4719e-21
0.971379,-4.37753e-21
0.985664,-7.25854e-22
0.999949,-5.01729e-22
1.01423,-5.12598e-21
1.02852,-1.26686e-20
1.0428,-7.77798e-21
1.05709,4.00649e-20
1.07137,-4.21567e-19
1.08566,-4.19286e-19
1.09994,-3.69046e-19
1.11423,-1.4737e-19
1.12851,-1.82993e-19
1.1428,-1.99482e-19
1.15708,-1.97371e-20
1.17137,-6.46536e-21
1.18565,-8.42708e-23
1.19994,-1.25386e-23
1.21422,-4.8543e-25
1.22851,-8.09651e-27
1.24279,-1.53275e-28
1.25708,-2.21605e-30
1.27136,-4.02122e-32
1.28565,-4.21697e-34
1.29993,-2.21039e-36
1.31422,-1.70425e-38
1.3285,-1.79213e-40
1.34279,-1.69239e-43
1.35707,-2.88533e-46
1.37136,-3.52133e-49
1.38564,-2.97117e-52
1.39993,-1.92142e-55
1.41421,-2.24555e-59
